device_make	device_model	_col2
OPPO	CPH2273	2609
samsung	SM-S901U1	3111
samsung	SM-F731B	10477
samsung	SM-F721B	5497
HONOR	ALT-LX3	5300
samsung	SM-F721N	3732
Xiaomi	A101XM	2727
realme	RMX2040	8331
samsung	SM-A546U	8391
CUBOT	KINGKONG_ES	1582
vivo	V1818CA	87
YosaToo	KIDS707A-708	86
samsung	SM-G9960	542
HUAWEI	d-01K	717
Casper	VIA S40	1153
samsung	SM-A145MB	645
ZUUM	Magno Pro	51
TCL	T611B	266
Xiaomi	25053PC47G	109
Xiaomi	23090RA98C	240
HMD Global	Nokia 6.1	232
ZONKO	K110	13
samsung	SM-S9010	546
Sony	A301SO	45
TCL	9296G_TR	198
incar	E77	14
HOTWAV	TAB R8	164
samsung	SM-A515W	213
realme	RMX3988	152
TECNO	TECNO CH6IS	68
vivo	V2338A	54
HAFURY	GT20	35
LT_mobile	LT E16	32
Sky Devices	SKY PAD10	77
DOOGEE	S55	42
HXY	MP07	5
TECNO	TECNO AD10	39
Cidea	CM524	1
Ulefone	Power Armor 16 Pro	28
DOOGEE	S41Pro	56
Lenovo	Lenovo TB328XU	17
OPPO	PFJM10	4
Cidea	KT10	4
Calme	4G Premium	28
Joyar	G101-OG	17
Xiaomi	MI 5	37
skythtek	TK801	18
alps	M301	5
Hisense	Hisense Infinity H50 Lite	22
alps	Fanvace M36	11
alps	Oilsky M303-Pro	12
Fortune Ship	Wildfire E2	7
Safaricom	Sajipro	2
YDJ	Mate8+	3
vivo	vivo Y55A	18
incar	Y108	4
ZTE	ZTE Blade A3 2020	3
Realme	Realme 5 Pro	1
Shenzhen Beishida	P107-EEA	1
Xiaomi	Redmi Note 9 Pro	61983
samsung	SM-G975F	25917
samsung	SM-A207F	15992
HONOR	ALI-NX1	38950
samsung	SM-A205G	7751
vivo	V2334	7378
samsung	SM-M015G	3252
OUKITEL	C25	179
samsung	SM-E135F	7430
realme	RMX3762	13105
TECNO	TECNO CH6i	6993
Xiaomi	2311DRK48I	1297
wheatek	Tab 10 Pro	121
HONOR	ABR-LX3	1635
hena	SmartPad_A70W_EU	107
JYYC	F11	470
vivo	vivo V11i	84
Anbernic	RG406V	97
TCL	T803E	73
Xiaomi	M2007J3SC	22
TCL	9460G	638
TINNO	U572AC	263
ACE France	BUZZ 5 Lite	63
TECNO MOBILE LIMITED	TECNO CA8	24
Sony	F3211	125
enova	N50	14
samsung	SM-G973C	17
OPPO	PCLM10	14
along	COLORS	11
M13pro	pop	23
samsung	SAMSUNG-SM-G928A	90
DOOGEE	S86	185
LENOVO	TB352XU	92
TCL	8194A	57
onlife	Pro-One-101	66
TCL	9032X	70
Hyundai Technology Inc	10LB4	86
HUAWEI	FLA-LX2	49
blackshark	SKR-H0	114
INOI	A161	41
TINNO	U668AC	36
ACCENT	Fast10	15
OPPO	CPH1861	73
redbeat	redbeatM2	2
OUKITEL	C22	8
BLU	G51 Plus	5
alps	A75_5G	1
EagleSoar	E10A_EEA	6
ZTE	W202DS	2
LT_mobile	LT C60	12
samsung	SM-N920I	3
Sky_Devices	Elite A65	2
Skyth	KidsTAB8-4G	2
incar	S1039P	1
hulkbuster	GeneralMobile hulkbuser	1
KRIP	K69	2
HotPepper	KT10_EEA	1
incar	MatePad-S1	1
ITEL	itel A511LP	1
TCL	9032X_TR	1
HONOR	LLY-LX3	7686
HUAWEI	DUB-LX3	2912
ZTE	ZTE 7060	6320
motorola	moto g52	14716
Xiaomi	23053RN02L	7557
HUAWEI	LYA-L09	1750
vivo	I2301	3197
Sony	SO-52B	1756
ITEL	itel P10005L	176
samsung	SM-G885F	235
samsung	SM-A405FN	5911
motorola	moto g stylus	1915
HEADWOLF	Hpad1	11
BQru	BQ-6353L	76
positivo	Twist Tab SPIDEY +	164
Xiaomi	Redmi 8A Dual	716
ZUUM	STELLAR M4	29
